0.5		-0.974587 		0.000616873
0.55		-0.955884 		0.000369261
0.6		-0.934764 		0.000451166
0.65		-0.913452 		0.000570145
0.70		-0.891737 		0.000422751
0.75		-0.870397 		0.000304887
0.80		-0.848268 		0.000345659
0.85		-0.826791 		0.000344408
0.90		-0.804403 		0.000208812
0.95		-0.782676 		0.000207946
1.		-0.761537 		0.000218715
1.05		-0.740886 		0.000365936
1.10		-0.720913 		0.000271404
1.15		-0.701181  		0.00019702
1.20		-0.682031 		0.000210611
1.25		-0.664255 		0.000168548
1.30		-0.646558 		0.000195064
1.5		-0.58294 		0.000197857
1.75		-0.516622 		0.000166976
2.		-0.46205 		0.000186466
